code fluvial,nom de la rivière,Latitude,Longitude,type de décompte,type d'installation,années de données de comptage,remarques
708210,Campbellton River,49.2793,-54.9218,adulte et saumoneaux,barrière de dénombrement,"adultes(2000-2025); saumoneaux(2000-2019, 2021-2025)",
3613350,Conne River,47.9112,-55.695,adulte et saumoneaux,barrière de dénombrement,"adultes(2000-2025); saumoneaux(2000-2017, 2019, 2021-2025)",marquer la récupération et barrière partielle pour saumoneaux (2000-2017)
5506440,Dykes River (Muddy Bay Brook),53.6383,-57.0651,adultes,barrière de dénombrement,"2002-2009, 2011-2025",
5716260,English River,54.9675,-59.747,adultes,barrière de dénombrement,2000-2025,
707791,Exploits River (Lower),49.0129,-55.4707,adultes,passe migratoire,2000-2025,
908613,Gander River (Salmon Brook),48.9997,-54.8947,adultes,passe migratoire,"2000-2013, 2015-2025",
3308440,Garnish River ,47.2282,-55.3455,adulte et saumoneaux,barrière de dénombrement,"adultes(2015-2025); saumoneaux(2016-2019, 2021-2025)",
4101203,"Harrys River (Home Pool, Spruce Brook, Georges Lake)",48.7038,-58.2317,adultes,barrière de dénombrement,"2005-2010, 2022-2025",
4101201,Harrys River (Lower),48.5528,-58.4069,adultes,barrière de dénombrement,"2003-2005, 2011-2019, 2021","Didson (2011-2019, 2021)"
4101202,Harrys River (Pinchgut),48.7922,-58.0988,adultes,barrière de dénombrement,2000-2004,
4000830,Highlands River,48.195,-58.8945,adultes,barrière de dénombrement,2000-2006,
3613110,Little River,47.8504,-55.6996,adultes,barrière de dénombrement,2000-2018,
1109760,Middle Brook (Gambo),48.8055,-54.2081,adultes,passe migratoire,2000-2025,
2700360,Northeast Brook (Trepassey),46.7658,-53.352,adultes,barrière de dénombrement,2000-2013,
2903070,Northeast River (Placentia),47.2717,-53.8426,adultes,passe migratoire,"2000, 2002, 2015-2025",
2801930,Rocky River,47.2236,-53.5667,adulte et saumoneaux,passe migratoire/barrière de dénombrement,"adultes(2000-2025); saumoneaux(2000-2019, 2021-2025)",
5405820,Sandhill River,53.5875,-56.3539,adultes,barrière de dénombrement,"2002-2019, 2021-2025",
5506601,Southwest Brook (Paradise River),53.4241,-57.2495,adultes,barrière de dénombrement,2001-2025,
1110221,Terra Nova River (Mouth-Lower Fishway),48.6004,-54.0788,adultes,passe migratoire,2001-2025,
4704800,Torrent River,50.607,-57.1532,adultes,passe migratoire,2000-2025,
4905190,West River (Western Arm Brook),51.1891,-56.7623,adulte et saumoneaux,barrière de dénombrement,"adultes(2000-2023); saumoneaux(2000-2019, 2021-2025)",
